PROLIFIC_PID,Directness (Wish) 1-5,Directness (Outcome) 1-5,Directness (Outcome Elab) 1-5,Directness (Wish) 1-5,Directness (Outcome) 1-5,Directness (Outcome Elab) 1-5,Specificity (Wish) 1-5,Specificity (Outcome) 1-5,Specificity (Outcome Elab) 1-5,Specificity (Wish) 1-5,Specificity (Outcome) 1-5,Specificity (Outcome Elab) 1-5,,,,,,,
5edfd5c67f45882ee8842c27,2,1,3,2,1,3,2,1,5,2,1,5,,,,,,,
5ee2a2503b34be7c5447f433,2,2,3,2,2,3,3,2,4,3,2,4,,,,,,,
5ee7d4186d433d0b1b02bb20,1,2,2,1,2,2,2,4,4,2,4,4,,,,,,,
5ee87daba93d8b00089c7049,2,5,5,2,5,5,3,3,4,3,3,4,,,,,,,
5ee93b8a0757731be7ee6374,2,3,3,2,3,3,4,3,4,4,3,4,,,,,,,
5ee99b84c6fc7e346a5e4d84,2,2,1,2,2,1,3,2,1,3,2,1,,,,,,,
5eea61972ad8e71445d7c84c,1,1,5,1,1,5,1,2,4,1,2,4,,,,,,,
5eeab8dbac2ca01de4018af0,2,1,5,2,1,5,3,1,5,3,1,5,,,,,,,
5eeae0b5d11ddb2126b1e2bf,2,1,5,2,1,5,1,1,3,1,1,3,,,,,,,
5eeb734a0654c307aadfe0c3,2,1,5,2,1,5,2,1,4,2,1,4,,,,,,,
5eec844dde30ed0009d14eba,5,1,1,5,1,1,5,1,1,5,1,1,,,,,,,
5ef0d2abecae6d04de905512,2,1,5,2,1,5,4,2,5,4,2,5,,,,,,,
5ef2d7247fab4b18187eb534,2,3,3,2,3,3,4,4,4,4,4,4,,,,,,,
5ef31a3f0ec7340290db464b,3,1,5,3,1,5,3,1,4,3,1,4,,,,,,,
5ef37c71b5135f0e29184498,2,5,5,2,5,5,2,3,4,2,3,4,,,,,,,
5ef41167f2caff1d7ba24454,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
5ef4f294a754761063674f12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
5ef563ed08cd7c1c23712488,2,2,2,2,2,2,2,4,2,2,4,2,,,,,,,
5ef56707b86de51c9ced0b36,2,2,5,2,2,5,3,4,4,3,4,4,,,,,,,
5ef819c640846d562cc3cd7e,2,1,3,2,1,3,3,1,4,3,1,4,,,,,,,
5ef81a32c4576a565bb8380c,2,1,5,2,1,5,3,1,2,3,1,2,,,,,,,
5efa9081fcffd01a80f82502,1,1,N/A,1,1,N/A,1,1,N/A,1,1,N/A,,,,,,,
5efb8f3656adde118c3a0e36,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,
5efc7dfcf7176d029d67c459,2,2,2,2,4,3,2,3,5,3,3,4,,,,,,,
5effb6ba633ea409d472e76e,2,5,5,3,5,5,2,3,5,3,3,5,,,,,,,
5f001fa6eba35111ac4376e9,2,1,5,2,2,5,2,2,5,2,2,5,,,,,,,
5f0027fc03078112dcf1133c,2,1,5,2,2,,2,1,4,2,2,4,,,,,,,
5f004341b4eb76146e106e12,2,5,5,2,5,5,2,3,4,2,3,4,,,,,,,
5f00962229c0c91b39d1978e,2,1,1,3,1,1,3,1,1,4,1,2,,,,,,,
5f0142aa1eb1e528e7abce50,2,2,5,2,3,4,2,2,5,3,3,4,,,,,,,
5f04e4e580100c171b58d843,1,1,1,1,1,1,1,1,1,1,1,2,,,,,,,
5f081f29b11b0f4706f12470,3,5,5,3,5,5,3,3,1,3,3,3,,,,,,,
5f09554eacb8841e0dcd393d,1,1,1,1,1,1,1,1,2,1,1,2,,,,,,,
5f09ff8304954e2b123bb07c,2,2,5,3,3,5,2,2,4,3,3,3,,,,,,,
5f0a11f36652942c9e206547,,,,,,,,,,,,,,,,,,,
5f0af6c31bf0713d86e4e62d,2,3,5,3,3,5,2,3,5,3,3,5,,,,,,,
5f0b3e53346a2508230a67d9,2,3,5,2,2,5,2,1,5,4,2,5,,,,,,,
5f0c911fc6db5763705037ef,3,1,3,3,1,3,3,1,3,4,1,4,,,,,,,
5f0cd090c46f4017b410ccbf,2,1,1,2,1,2,2,2,2,2,2,3,,,,,,,
5f0d810af3daf501de98e235,2,1,2,3,1,5,3,1,5,3,1,5,,,,,,,
5f0e3846c4ea8717ab1b72bb,2,1,1,2,1,2,2,1,1,3,1,1,,,,,,,
5f0fc68b01b48a1bba67a714,2,2,1,,5,2,1,2,2,2,3,2,,,,,,,
5f1177bf661dcd51de2cb852,1,1,3,1,1,3,1,1,2,1,2,5,,,,,,,
5f12434469688108dff71446,2,2,1,2,2,2,2,2,1,2,2,3,,,,,,,
5f143d48399eaf497b4b9cec,2,1,1,2,2,2,2,1,4,2,2,4,,,,,,,
5f146ef9ea975204c13351bf,2,2,3,2,2,3,4,1,5,3,2,3,,,,,,,
5f14b6c41936800b900df943,2,3,1,3,3,2,3,3,2,2,3,2,,,,,,,
5f14c3c615487c0d3771254c,2,1,1,1,2,1,2,3,1,2,2,2,,,,,,,
5f14fd4d7b7a1911ef3fb8ad,2,3,3,2,3,3,3,3,5,3,3,5,,,,,,,
5f15b6e9f7fa5e084eae1851,2,3,3,3,3,3,3,3,4,3,3,4,,,,,,,
5f15b80b545a205ae35ca931,2,5,1,3,5,2,3,3,3,4,3,3,,,,,,,
5f1624cd6b42b767a5e3e86c,2,1,5,2,2,5,2,1,4,2,2,5,,,,,,,
5f163ea847667c19f8808b47,2,1,3,2,1,3,3,1,4,2,2,4,,,,,,,
5f16618b9a197d3420b09175,2,1,5,3,1,5,3,1,3,3,1,3,,,,,,,
5f16f33f51a59300099dbe76,1,1,5,2,1,5,2,1,3,2,2,3,,,,,,,
5f16f96f65243c01ecdda75c,2,2,1,2,2,2,3,2,3,3,2,3,,,,,,,
5f18c9f4ad9b9d0f839b0e65,2,1,5,2,1,5,2,1,3,2,1,3,,,,,,,
5f191a588c02f3165938f3ae,2,2,3,2,2,3,2,3,2,2,3,2,,,,,,,
5f1933b4873ae51897e1ed2b,2,5,1,1,5,1,5,3,1,3,4,1,,,,,,,
5f1942b8de6ae7199e08b7c5,3,1,1,1,2,3,4,1,3,3,1,3,,,,,,,
5f19d02f13c89a0721dda135,2,3,3,3,3,3,3,3,3,3,3,3,,,,,,,
5f19f2fc1af38d0bd7d29b13,2,3,3,4,3,3,2,3,4,3,3,5,,,,,,,
5f1a09cf8903270f1220783e,2,3,3,2,3,5,2,3,4,2,3,4,,,,,,,
5f1b5e203eb338125bc6648d,2,2,1,2,2,3,3,3,4,3,2,3,,,,,,,
5f1c0ceea1def70179a2ba62,2,1,2,2,1,5,2,1,4,2,2,4,,,,,,,
5f1c0e454b96200122091153,2,5,5,2,5,2,3,1,3,2,3,2,,,,,,,
5f1ca7c9d3db3c11895ba1fa,1,1,2,2,1,1,2,1,3,3,2,4,,,,,,,
5f1cc317d29e11591c880143,1,1,1,1,1,2,1,1,1,1,1,1,,,,,,,
5f1d6cd3ca349069450ea3a4,2,1,2,2,1,3,2,1,3,3,2,2,,,,,,,
5f1e70cac1b461821bee5b1d,2,3,3,3,3,3,3,3,4,3,3,3,,,,,,,
5f1ecbb701fe3b0008b734ea,1,1,,2,1,,2,1,,2,2,,,,,,,,
5f1ed7ae6fc14c01fba835f6,2,1,1,2,1,3,3,1,4,2,2,4,,,,,,,
5f1f021643cfbc070e5b42ed,1,5,5,1,5,5,1,4,4,1,4,4,,,,,,,
5f1f0dbdae98010968f1f4fc,2,5,5,3,5,3,3,3,4,3,4,3,,,,,,,
5f1f31a057a7520f58819aa1,2,3,1,3,2,1,3,1,1,3,2,1,,,,,,,
5f1f679ffb682f00092e880e,2,3,3,2,3,3,2,3,4,3,3,5,,,,,,,
5f1f9ecb38fd761c1c59502e,2,1,1,2,2,2,2,1,4,2,1,3,,,,,,,
5f1fc4956a1b2a1ee65f9e3f,1,1,1,1,1,1,1,1,5,1,1,4,,,,,,,
5f1fdab91723a9000a8cf742,3,1,3,3,1,3,3,2,2,3,2,2,,,,,,,
5f203c14443fd92d8041f72b,1,1,5,1,1,4,1,1,2,1,1,3,,,,,,,
5f205bab7ea88411465e783d,2,1,5,2,2,5,2,3,2,3,3,2,,,,,,,
5f206d728082db10cb4ab1ef,2,5,5,3,5,5,3,3,5,4,4,3,,,,,,,
5f21d5f1c3890662a27de549,2,1,3,2,1,3,2,1,5,3,2,4,,,,,,,
5f2284bf391c9b754fd97d8d,2,1,5,2,3,3,2,3,5,2,4,3,,,,,,,
5f231b190cad4408fadeedee,2,2,5,2,3,3,3,2,5,3,2,4,,,,,,,
5f2354555b1d5b1082ca1457,2,1,5,2,2,5,2,1,4,2,1,4,,,,,,,
5f23a376d36a5717b4440733,2,5,5,3,5,5,2,2,5,3,3,5,,,,,,,
5f23b1b3c71d5a1aafc58f7a,2,1,3,2,2,3,2,1,3,2,2,3,,,,,,,
5f23b4877f5fe518b8fa7a5e,2,1,2,2,2,2,2,1,2,2,1,2,,,,,,,
5f23fd57ed5d1b044229bd6e,5,5,2,3,5,3,3,3,3,3,4,3,,,,,,,
5f2433524d994b013179709b,2,1,5,2,1,3,2,1,4,2,1,3,,,,,,,
5f248bd42ba30d076f735969,2,1,5,2,1,5,2,1,5,2,1,4,,,,,,,
5f24b144dfebca0c445bca88,2,2,2,2,2,3,2,2,5,3,2,5,,,,,,,
5f25248cf7a08b16c8c6c11b,1,1,2,1,1,3,1,1,2,1,1,3,,,,,,,
5f2576ce00b37f2115133ff1,2,2,3,2,2,3,3,2,3,2,3,3,,,,,,,
5f25e6c182bf2c1fda139ca5,2,3,5,3,2,5,3,2,2,3,3,3,,,,,,,
5f25f3e0fa7df82e7c7f2051,2,3,3,3,3,3,3,3,4,3,3,3,,,,,,,
5f25faf71a46852f7beb70e6,2,2,3,2,2,3,2,2,4,2,2,3,,,,,,,
5f25fdbc64fcbe2efa857a55,2,1,3,3,1,3,3,1,5,4,2,4,,,,,,,
5f262804b9740534b9de09e6,1,,2,2,3,3,2,2,4,3,3,3,,,,,,,
5f26e824a5a07f476e65a7d4,1,1,1,1,1,2,1,1,3,1,1,3,,,,,,,
5f27176a18c68e402a70b365,2,1,1,2,2,1,2,2,1,2,2,1,,,,,,,
5f274c8a38b9f85410288a34,2,2,2,2,3,3,2,3,3,3,3,2,,,,,,,
5f274e9c1e45dc095853f5bb,5,2,5,5,5,5,3,4,4,4,4,3,,,,,,,
5f275825ca810f11639a1b27,2,5,5,2,5,5,2,2,4,2,2,4,,,,,,,
5f27bdb1f4ccc11fedcea1f1,2,2,3,2,2,3,2,2,3,2,2,3,,,,,,,
5f27eb714000610420e0c7a5,2,1,3,2,2,3,2,2,3,2,2,3,,,,,,,
5f27f1beb7d456000a1cd660,2,1,5,2,1,5,3,1,3,2,1,3,,,,,,,
5f280fc751d128042f720aaa,2,1,5,2,1,5,2,1,3,2,2,2,,,,,,,
5f281b62290f0b08dedd4c70,2,1,,3,1,1,3,1,,3,1,1,,,,,,,
5f281ebe81848e0b88058902,1,2,5,2,3,5,1,3,4,2,4,2,,,,,,,
5f282fffb7d456080dc0fd84,1,1,5,1,1,5,1,1,5,1,1,5,,,,,,,
5f28603b383f790f8b1e2839,2,1,3,3,1,3,3,1,5,4,2,4,,,,,,,
5f2864ec5082811731b8c4db,2,1,3,2,1,3,2,1,5,2,2,5,,,,,,,
5f2873265b781b13e6e25714,2,3,3,2,3,3,2,3,3,2,3,4,,,,,,,
5f288e169c5b401d0dde2711,2,2,5,2,2,5,2,2,5,2,3,5,,,,,,,
5f2892763edc591d2094364d,2,2,5,2,5,5,3,2,3,3,2,3,,,,,,,
5f289aaea3449d0008dc8474,2,2,5,2,2,3,2,2,5,2,2,4,,,,,,,
5f289b30f85a011e6e9e59ca,2,2,2,2,2,3,2,2,3,3,2,3,,,,,,,
5f289b66bf12391e44da108a,2,1,2,2,2,2,2,2,3,2,2,3,,,,,,,
5f28aa16eae05c000af89b4d,2,1,2,3,1,5,2,1,3,4,1,4,,,,,,,
5f28c17383d92d215bf23c7d,2,3,3,3,3,3,2,2,5,3,2,4,,,,,,,
5f28e407b78f0227150934d8,2,1,2,2,2,2,2,2,3,2,2,4,,,,,,,
5f28f396166da32748f9de33,2,3,3,2,3,3,2,3,5,3,4,4,,,,,,,
5f291c00c246982dadecfab1,2,5,5,3,5,3,3,3,4,3,3,4,,,,,,,
5f292f254e018c2f58f6f50d,2,5,1,3,5,2,2,2,1,2,2,2,,,,,,,
5f29519789930201ae621d25,2,1,1,2,1,2,2,1,2,2,1,2,,,,,,,
5f2965b61064b9046fd8063a,2,1,1,2,1,2,2,1,4,3,1,2,,,,,,,
5f296d406b6c5204f705e10c,2,5,1,3,5,1,3,3,1,4,3,1,,,,,,,
5f297dc21fb4ea091889b6d2,2,1,5,3,2,4,2,1,3,4,2,3,,,,,,,
5f29867bdf221b0a0bad5377,2,1,2,3,1,3,3,1,3,3,1,5,,,,,,,
5f29a795209c1b0fc2fde949,2,1,2,2,1,3,2,1,3,2,2,4,,,,,,,
5f29c0a1db2cb0140eab895d,2,3,2,2,3,2,2,3,2,4,4,3,,,,,,,
